,p0,m0,p1,m1,p2,m2,p3,m3
5217,31017.5830802,16.748793135,249754.107679,139.721166793,28199.8959097,15.5687676393,7494.38704255,5.25243516745
5218,31320.0000405,16.8418828315,253702.383733,140.978685153,28591.8782988,15.6920252576,7772.03546484,5.44702484224
5219,31457.1859984,16.8839844857,255391.71879,141.514169024,28766.1684774,15.7465968072,8100.8901952,5.67750241711
5220,31064.3664574,16.7632192557,250376.930241,139.920098337,28251.5474124,15.5850512544,7527.44420176,5.27560325105
5221,31465.8502749,16.8866408695,255334.490945,141.496053879,28776.0644136,15.7496910314,7805.26321335,5.47031248322
5222,31541.6450203,16.9098654963,256414.606615,141.837665534,28866.8654623,15.7780610621,8134.47426807,5.70103978773
5223,31223.0267128,16.8120746429,252161.72099,140.488993003,28457.5852496,15.6498795403,7560.47089107,5.29874997985
5224,31572.98074,16.9194602544,256598.326161,141.895709729,28906.1457886,15.7903219987,7838.49810988,5.49360513388
5225,31394.1619114,16.864652489,254270.049605,141.15879336,28662.8142547,15.7142530302,7777.52896792,5.45087495948
5226,31896.5654675,17.0183026989,260683.81828,143.181914794,29337.7217941,15.9245662897,8165.5190762,5.7227975167
5227,31173.4678716,16.7968256894,251401.425157,140.246863817,28355.6583679,15.617834321,7592.06093134,5.32088983431
5228,31839.803658,17.0009952605,259780.569762,142.898298557,29263.4908566,15.9015369245,7870.46528418,5.51600930244
5229,31728.5117586,16.9670225949,258445.203106,142.47822523,29073.1637036,15.8423752177,8200.56379179,5.7473585776
5230,31591.6634454,16.9251788205,256567.01268,141.885817833,28939.1739544,15.8006258561,7625.60116674,5.34439648148
5231,31838.1251047,17.0004832467,259604.078373,142.842831788,29229.821304,15.8910830469,7904.1035611,5.53958466192
5232,32002.8839529,17.0506853118,261786.307761,143.527523201,29460.3460248,15.9625545391,8234.59294007,5.77120787897
5233,31603.4493883,16.928785622,256529.6137,141.874002857,28912.9818162,15.7924550613,7659.04974997,5.3678388943
5234,32023.2805229,17.056892474,261839.87885,143.544300804,29480.6527013,15.9688388823,7937.70363598,5.56313324754
5235,31800.1574372,16.9888987831,258948.80564,142.636754934,29156.8147478,15.868397885,7876.6293779,5.52032940259
5236,32334.1957001,17.1513035931,265776.409528,144.773175674,29895.0898651,16.0966932072,8265.92836774,5.7931692884
5237,31605.1077459,16.9292930759,256374.824037,141.825094315,28883.2842434,15.7831868809,7690.83966276,5.39011882927
5238,32285.4751947,17.1365349918,264977.177793,144.524309792,29829.6812929,16.0765652381,7969.7733682,5.58560929373
5239,32154.9854784,17.0969329076,263353.62493,144.017777236,29596.4680159,16.0046450723,8300.95096743,5.8177148494
5240,32052.0836961,17.0656550945,261940.213924,143.57572019,29522.3453347,15.9817357668,7724.29368177,5.41356505174
5241,32285.116933,17.1364263571,264790.809481,144.466232142,29787.2867418,16.0635092137,8003.28130002,5.60909330096
